Market,Make,VehicleAge,median_make_price_index,listing_count
Pakistan,Land,8,1.9444444444444444,1
Pakistan,Land,16,1.25,3
Pakistan,Land,17,1.1111111111111112,1
Pakistan,Land,18,0.9722222222222222,5
Pakistan,Land,19,0.6944444444444444,3
Pakistan,Land,20,1.0277777777777777,2
Pakistan,Land,22,0.6111111111111112,1
Pakistan,Land,23,0.8611111111111112,2
Pakistan,Land,24,1.0555555555555556,1
Pakistan,Land,29,1.0833333333333333,1
US,Land,1,1.8428812251778623,2
US,Land,2,1.228320809165976,136
US,Land,3,1.712620360581731,212
US,Land,4,1.4797565644732706,151
US,Land,5,1.4070116289036831,162
US,Land,6,0.9285979599417126,130
US,Land,7,0.7712791794051259,86
US,Land,8,0.7140204005828737,73
US,Land,9,0.6568759107403068,63
US,Land,10,0.511443184090974,25
US,Land,11,0.43558387382496644,54
US,Land,12,0.3403811537472499,17
US,Land,13,0.34272407783079517,43
US,Land,14,0.25686448184233834,15
US,Land,15,0.356367324780708,10
US,Land,16,0.2570073430669448,6
US,Land,17,0.12830366581902342,2
US,Land,18,0.2568073373524958,1
US,Land,19,0.1427183633818109,1
US,Land,22,1.0883453812966084,2
Pakistan,Lexus,1,3.2653061224489797,1
Pakistan,Lexus,2,1.7959183673469388,1
Pakistan,Lexus,3,1.469387755102041,7
Pakistan,Lexus,4,7.346938775510204,2
Pakistan,Lexus,5,5.718367346938775,4
Pakistan,Lexus,6,2.9306122448979592,7
Pakistan,Lexus,7,5.0,4
Pakistan,Lexus,8,4.979591836734694,12
Pakistan,Lexus,9,0.6122448979591837,1
Pakistan,Lexus,10,0.4179591836734694,1
Pakistan,Lexus,12,0.8979591836734694,12
Pakistan,Lexus,13,0.43673469387755104,7
Pakistan,Lexus,14,0.7755102040816326,7
Pakistan,Lexus,15,0.6938775510204082,5
Pakistan,Lexus,16,1.889795918367347,2
Pakistan,Lexus,19,1.183673469387755,1
Pakistan,Lexus,21,0.5330612244897959,4
Pakistan,Lexus,22,0.4551020408163265,2
Pakistan,Lexus,30,0.4897959183673469,1
Pakistan,Lexus,31,0.8163265306122449,1
US,Lexus,1,3.509353296990516,2
US,Lexus,2,1.7124561272496452,145
US,Lexus,3,1.4184153535956987,597
US,Lexus,4,1.23174146815025,1690
US,Lexus,5,1.0262489731909492,1004
US,Lexus,6,0.9325666492420281,514
US,Lexus,7,0.7421775819580315,231
US,Lexus,8,0.6720558584123665,241
US,Lexus,9,0.6345679934284221,298
US,Lexus,10,0.48521394966768727,155
US,Lexus,11,0.4999813307445299,260
US,Lexus,12,0.44787543872750357,260
US,Lexus,13,0.3731984168471361,171
US,Lexus,14,0.3731984168471361,129
US,Lexus,15,0.3341796729146442,137
US,Lexus,16,0.2968411619744605,55
US,Lexus,17,0.261182884026585,61
US,Lexus,18,0.22369501904264058,31
US,Lexus,19,0.20536181017101038,13
US,Lexus,20,0.18458292883279814,4
US,Lexus,21,0.16003285788962734,4
US,Lexus,22,0.18669255470091853,3
Pakistan,Mazda,1,1.602982292637465,1
Pakistan,Mazda,3,1.1369990680335509,3
Pakistan,Mazda,4,1.2674743709226468,17
Pakistan,Mazda,5,1.0624417520969245,5
Pakistan,Mazda,6,0.9878844361602983,14
Pakistan,Mazda,7,0.972972972972973,4
Pakistan,Mazda,8,0.9040074557315936,4
Pakistan,Mazda,9,0.9506057781919851,4
Pakistan,Mazda,10,0.8574091332712022,10
Pakistan,Mazda,11,0.8685927306616962,6
Pakistan,Mazda,12,0.6710158434296365,3
Pakistan,Mazda,13,0.8201304753028891,3
Pakistan,Mazda,14,0.8014911463187325,1
Pakistan,Mazda,15,0.6150978564771669,3
Pakistan,Mazda,16,1.30475302889096,4
Pakistan,Mazda,17,1.0251630941286114,8
Pakistan,Mazda,18,1.0717614165890028,6
Pakistan,Mazda,19,1.1025163094128612,4
Pakistan,Mazda,20,1.1183597390493942,11
Pakistan,Mazda,21,1.0531220876048462,6
Pakistan,Mazda,22,0.6337371854613234,1
Pakistan,Mazda,25,1.30475302889096,1
Pakistan,Mazda,27,5.405405405405405,1
Pakistan,Mazda,28,5.405405405405405,1
Pakistan,Mazda,30,0.554520037278658,2
Pakistan,Mazda,31,0.45293569431500463,1
Pakistan,Mazda,32,0.31500428704566635,1
Pakistan,Mazda,33,0.5964585274930102,1
US,Mazda,2,1.4129032258064516,231
US,Mazda,3,1.3361935483870968,865
US,Mazda,4,1.1450967741935485,811
US,Mazda,5,0.9676774193548388,771
US,Mazda,6,0.7741290322580645,259
US,Mazda,7,0.6888064516129032,226
US,Mazda,8,0.6326774193548388,154
US,Mazda,9,0.5480645161290323,181
US,Mazda,10,0.5149677419354839,75
US,Mazda,11,0.5032258064516129,115
US,Mazda,12,0.4509677419354839,90
US,Mazda,13,0.3864516129032258,67
US,Mazda,14,0.3419354838709677,43
US,Mazda,15,0.3738709677419355,45
US,Mazda,16,0.26606451612903226,27
US,Mazda,17,0.3223225806451613,16
US,Mazda,18,0.2903225806451613,17
US,Mazda,19,0.1770967741935484,4
US,Mazda,20,0.3369032258064516,9
US,Mazda,21,0.18693548387096776,4
Pakistan,Mini,17,1.0588235294117647,1
Pakistan,Mini,20,0.9411764705882353,1
Pakistan,Mini,21,1.2470588235294118,1
Pakistan,Mini,22,0.7529411764705882,1
Pakistan,Mini,25,0.8941176470588236,1
Pakistan,Mini,34,1.1294117647058823,1
US,Mini,1,2.3125508098305296,3
US,Mini,2,1.7364767681821025,114
US,Mini,3,1.3757113376274155,123
US,Mini,4,1.2161841035582515,200
US,Mini,5,1.0936151585266713,283
US,Mini,6,0.8440998061409543,141
US,Mini,7,0.7997623663310612,115
US,Mini,8,0.6813207429178914,82
US,Mini,9,0.5374585704458759,46
US,Mini,10,0.49949971859170783,74
US,Mini,11,0.5002188731161278,45
US,Mini,12,0.4376836970796073,15
US,Mini,13,0.4374335563754612,11
US,Mini,14,0.3885623163029204,16
US,Mini,15,0.375179788631105,6
US,Mini,16,0.31217559877431056,8
US,Mini,17,0.1875429929335251,1
Pakistan,Mitsubishi,1,1.972972972972973,3
Pakistan,Mitsubishi,2,2.097296756756757,5
Pakistan,Mitsubishi,3,1.9635135135135136,18
Pakistan,Mitsubishi,4,2.081081081081081,25
Pakistan,Mitsubishi,5,1.7567567567567568,17
Pakistan,Mitsubishi,6,1.5675675675675675,13
Pakistan,Mitsubishi,7,1.4054054054054053,12
Pakistan,Mitsubishi,8,1.2567567567567568,11
Pakistan,Mitsubishi,9,1.2027027027027026,14
Pakistan,Mitsubishi,10,1.2554054054054054,22
Pakistan,Mitsubishi,11,0.9689189189189189,22
Pakistan,Mitsubishi,12,1.127027027027027,33
Pakistan,Mitsubishi,13,0.9567567567567568,13
Pakistan,Mitsubishi,14,0.9864864864864864,10
Pakistan,Mitsubishi,15,0.8162162162162163,6
Pakistan,Mitsubishi,16,0.7837837837837838,12
Pakistan,Mitsubishi,17,0.8783783783783784,49
Pakistan,Mitsubishi,18,0.8918918918918919,59
Pakistan,Mitsubishi,19,0.8648648648648649,58
Pakistan,Mitsubishi,20,0.8635135135135135,28
